country,date,sector,value20,value21,,country,date,sector,value20a,value21a,,country,date,sector,value20b,value21b,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d,,country,date,sector,value20e,value21e
Brazil,1/1/2020,Power,0.302034,0.297697,,Brazil,1/1/2020,Industry,0.314826,0.309095,,Brazil,1/1/2020,Domestic Aviation,0.0226154,0.0158556,,Brazil,1/1/2020,International Aviation,0.0168532,0.00685544,,Brazil,1/1/2020,Ground Transport,0.251534,0.0939564,,Brazil,1/1/2020,Residential,0.0984519,0.0984519
China,1/1/2020,Power,16.5024,16.3429,,China,1/1/2020,Industry,10.3884,11.0446,,China,1/1/2020,Domestic Aviation,0.17083,0.170147,,China,1/1/2020,International Aviation,0.0823057,0.0292834,,China,1/1/2020,Ground Transport,2.34337,2.45637,,China,1/1/2020,Residential,3.68583,4.34355
India,1/1/2020,Power,3.29404,3.48697,,India,1/1/2020,Industry,2.07711,2.0269,,India,1/1/2020,Domestic Aviation,0.0211774,0.0154961,,India,1/1/2020,International Aviation,0.0361825,0.0139036,,India,1/1/2020,Ground Transport,0.827252,0.803088,,India,1/1/2020,Residential,1.94958,1.94876
Russia,1/1/2020,Power,2.58164,2.31378,,Russia,1/1/2020,Industry,0.628996,0.568605,,Russia,1/1/2020,Domestic Aviation,0.0248176,0.0284189,,Russia,1/1/2020,International Aviation,0.0302546,0.00883759,,Russia,1/1/2020,Ground Transport,0.436479,0.332366,,Russia,1/1/2020,Residential,0.732868,0.886319
Brazil,1/2/2020,Power,0.313837,0.305347,,Brazil,1/2/2020,Industry,0.327129,0.317039,,Brazil,1/2/2020,Domestic Aviation,0.0330685,0.0285979,,Brazil,1/2/2020,International Aviation,0.0189437,0.00534111,,Brazil,1/2/2020,Ground Transport,0.431952,0.192712,,Brazil,1/2/2020,Residential,0.0984519,0.0984519
China,1/2/2020,Power,15.8546,15.8246,,China,1/2/2020,Industry,9.98061,10.6943,,China,1/2/2020,Domestic Aviation,0.175613,0.155385,,China,1/2/2020,International Aviation,0.0843115,0.026031,,China,1/2/2020,Ground Transport,2.54627,2.4697,,China,1/2/2020,Residential,3.46982,4.07303
India,1/2/2020,Power,3.33141,3.45082,,India,1/2/2020,Industry,2.10067,2.00588,,India,1/2/2020,Domestic Aviation,0.0212418,0.0158067,,India,1/2/2020,International Aviation,0.0358396,0.0132206,,India,1/2/2020,Ground Transport,0.841886,0.764445,,India,1/2/2020,Residential,1.27129,1.41439
Russia,1/2/2020,Power,2.66066,2.39547,,Russia,1/2/2020,Industry,0.648248,0.588679,,Russia,1/2/2020,Domestic Aviation,0.0398137,0.0412913,,Russia,1/2/2020,International Aviation,0.0398428,0.0127366,,Russia,1/2/2020,Ground Transport,0.558537,0.50501,,Russia,1/2/2020,Residential,0.734011,0.888886
Brazil,1/3/2020,Power,0.322871,0.282197,,Brazil,1/3/2020,Industry,0.336545,0.293002,,Brazil,1/3/2020,Domestic Aviation,0.0347073,0.026128,,Brazil,1/3/2020,International Aviation,0.0195571,0.00860448,,Brazil,1/3/2020,Ground Transport,0.446859,0.122148,,Brazil,1/3/2020,Residential,0.0984519,0.0984519
China,1/3/2020,Power,15.3147,16.3112,,China,1/3/2020,Industry,9.64076,11.0232,,China,1/3/2020,Domestic Aviation,0.175181,0.181921,,China,1/3/2020,International Aviation,0.0846111,0.0303584,,China,1/3/2020,Ground Transport,2.61241,2.47362,,China,1/3/2020,Residential,3.38281,3.96899
