country,date,sector,value20,value21,,country,date,sector,value20a,valuie21a,,,country,date,sector,value20b,value21b,,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d
Brazil,1/1/2020,Power,0.302034,0.297697,,Brazil,1/1/2020,Industry,0.314826,0.309095,,,Brazil,1/1/2020,Domestic Aviation,0.0226154,0.0158556,,,Brazil,1/1/2020,International Aviation,0.0168532,0.00685544,,Brazil,1/1/2020,Residential,0.0984519,0.0984519
China,1/1/2020,Power,16.5024,16.3429,,China,1/1/2020,Industry,10.3884,11.0446,,,China,1/1/2020,Domestic Aviation,0.17083,0.170147,,,China,1/1/2020,International Aviation,0.0823057,0.0292834,,China,1/1/2020,Residential,3.68583,4.34355
EU27 & UK,1/1/2020,Power,1.94369,2.17812,,EU27 & UK,1/1/2020,Industry,1.16418,1.25523,,,EU27 & UK,1/1/2020,Domestic Aviation,0.0321328,0.0125416,,,EU27 & UK,1/1/2020,International Aviation,0.378755,0.117591,,EU27 & UK,1/1/2020,Residential,3.04106,3.12185
India,1/1/2020,Power,3.29404,3.48697,,India,1/1/2020,Industry,2.07711,2.0269,,,India,1/1/2020,Domestic Aviation,0.0211774,0.0154961,,,India,1/1/2020,International Aviation,0.0361825,0.0139036,,India,1/1/2020,Residential,1.94958,1.94876
ROW,1/1/2020,Power,8.4681,7.94252,,ROW,1/1/2020,Industry,8.13642,8.03369,,,ROW,1/1/2020,Domestic Aviation,0.176769,0.108705,,,ROW,1/1/2020,International Aviation,0.761327,0.278306,,ROW,1/1/2020,Residential,4.99205,5.47428
Russia,1/1/2020,Power,2.58164,2.31378,,Russia,1/1/2020,Industry,0.628996,0.568605,,,Russia,1/1/2020,Domestic Aviation,0.0248176,0.0284189,,,Russia,1/1/2020,International Aviation,0.0302546,0.00883759,,Russia,1/1/2020,Residential,0.732868,0.886319
United States,1/1/2020,Power,3.1624,3.8158,,United States,1/1/2020,Industry,2.6193,2.78613,,,United States,1/1/2020,Domestic Aviation,0.401377,0.242557,,,United States,1/1/2020,International Aviation,0.192116,0.0996641,,United States,1/1/2020,Residential,2.89266,2.94344
WORLD,1/1/2020,Power,37.454,37.8519,,WORLD,1/1/2020,Industry,25.8245,26.5458,,,WORLD,1/1/2020,Domestic Aviation,0.876764,0.613596,,,WORLD,1/1/2020,International Aviation,1.5517,0.570955,,WORLD,1/1/2020,Residential,18.0008,19.5192
Brazil,1/2/2020,Power,0.313837,0.305347,,Brazil,1/2/2020,Industry,0.327129,0.317039,,,Brazil,1/2/2020,Domestic Aviation,0.0330685,0.0285979,,,Brazil,1/2/2020,International Aviation,0.0189437,0.00534111,,Brazil,1/2/2020,Residential,0.0984519,0.0984519
China,1/2/2020,Power,15.8546,15.8246,,China,1/2/2020,Industry,9.98061,10.6943,,,China,1/2/2020,Domestic Aviation,0.175613,0.155385,,,China,1/2/2020,International Aviation,0.0843115,0.026031,,China,1/2/2020,Residential,3.46982,4.07303
EU27 & UK,1/2/2020,Power,2.28418,2.439,,EU27 & UK,1/2/2020,Industry,1.36811,1.40557,,,EU27 & UK,1/2/2020,Domestic Aviation,0.0413889,0.020182,,,EU27 & UK,1/2/2020,International Aviation,0.454253,0.192577,,EU27 & UK,1/2/2020,Residential,2.97235,3.08661
India,1/2/2020,Power,3.33141,3.45082,,India,1/2/2020,Industry,2.10067,2.00588,,,India,1/2/2020,Domestic Aviation,0.0212418,0.0158067,,,India,1/2/2020,International Aviation,0.0358396,0.0132206,,India,1/2/2020,Residential,1.27129,1.41439
ROW,1/2/2020,Power,9.199,8.08816,,ROW,1/2/2020,Industry,8.6078,8.37809,,,ROW,1/2/2020,Domestic Aviation,0.201188,0.121981,,,ROW,1/2/2020,International Aviation,0.798405,0.333468,,ROW,1/2/2020,Residential,4.98458,5.4193
Russia,1/2/2020,Power,2.66066,2.39547,,Russia,1/2/2020,Industry,0.648248,0.588679,,,Russia,1/2/2020,Domestic Aviation,0.0398137,0.0412913,,,Russia,1/2/2020,International Aviation,0.0398428,0.0127366,,Russia,1/2/2020,Residential,0.734011,0.888886
United States,1/2/2020,Power,3.67995,3.74257,,United States,1/2/2020,Industry,2.73102,2.75467,,,United States,1/2/2020,Domestic Aviation,0.484853,0.324682,,,United States,1/2/2020,International Aviation,0.223041,0.121653,,United States,1/2/2020,Residential,2.59755,2.69597
WORLD,1/2/2020,Power,38.5148,37.747,,WORLD,1/2/2020,Industry,26.2554,26.6754,,,WORLD,1/2/2020,Domestic Aviation,1.0244,0.731301,,,WORLD,1/2/2020,International Aviation,1.71025,0.720888,,WORLD,1/2/2020,Residential,16.6924,18.3524
Brazil,1/3/2020,Power,0.322871,0.282197,,Brazil,1/3/2020,Industry,0.336545,0.293002,,,Brazil,1/3/2020,Domestic Aviation,0.0347073,0.026128,,,Brazil,1/3/2020,International Aviation,0.0195571,0.00860448,,Brazil,1/3/2020,Residential,0.0984519,0.0984519
China,1/3/2020,Power,15.3147,16.3112,,China,1/3/2020,Industry,9.64076,11.0232,,,China,1/3/2020,Domestic Aviation,0.175181,0.181921,,,China,1/3/2020,International Aviation,0.0846111,0.0303584,,China,1/3/2020,Residential,3.38281,3.96899
EU27 & UK,1/3/2020,Power,2.20638,2.11929,,EU27 & UK,1/3/2020,Industry,1.32152,1.22132,,,EU27 & UK,1/3/2020,Domestic Aviation,0.0430241,0.026473,,,EU27 & UK,1/3/2020,International Aviation,0.473447,0.197463,,EU27 & UK,1/3/2020,Residential,2.64818,3.04491
India,1/3/2020,Power,3.37005,3.32841,,India,1/3/2020,Industry,2.12503,1.93473,,,India,1/3/2020,Domestic Aviation,0.0214139,0.0154454,,,India,1/3/2020,International Aviation,0.0362615,0.0150328,,India,1/3/2020,Residential,1.35679,0.900979
ROW,1/3/2020,Power,9.50116,8.29908,,ROW,1/3/2020,Industry,9.18468,8.72251,,,ROW,1/3/2020,Domestic Aviation,0.2038,0.142896,,,ROW,1/3/2020,International Aviation,0.83356,0.359976,,ROW,1/3/2020,Residential,4.94583,5.32016
Russia,1/3/2020,Power,2.62808,2.42902,,Russia,1/3/2020,Industry,0.64031,0.596925,,,Russia,1/3/2020,Domestic Aviation,0.0439767,0.0420806,,,Russia,1/3/2020,International Aviation,0.0342188,0.0127882,,Russia,1/3/2020,Residential,0.730222,0.871592
United States,1/3/2020,Power,3.65034,3.72185,,United States,1/3/2020,Industry,2.72751,2.7477,,,United States,1/3/2020,Domestic Aviation,0.52675,0.381931,,,United States,1/3/2020,International Aviation,0.232614,0.12114,,United States,1/3/2020,Residential,2.29615,2.8088
WORLD,1/3/2020,Power,38.1976,38.0303,,WORLD,1/3/2020,Industry,26.4734,27.084,,,WORLD,1/3/2020,Domestic Aviation,1.07613,0.841736,,,WORLD,1/3/2020,International Aviation,1.77013,0.761456,,WORLD,1/3/2020,Residential,16.0036,17.6793
Brazil,1/4/2020,Power,0.323605,0.352804,,Brazil,1/4/2020,Industry,0.337311,0.366312,,,Brazil,1/4/2020,Domestic Aviation,0.0325312,0.0302881,,,Brazil,1/4/2020,International Aviation,0.0213272,0.00787728,,Brazil,1/4/2020,Residential,0.0984519,0.0984519
China,1/4/2020,Power,15.2505,16.6761,,China,1/4/2020,Industry,9.60034,11.2698,,,China,1/4/2020,Domestic Aviation,0.177159,0.172875,,,China,1/4/2020,International Aviation,0.088578,0.0243764,,China,1/4/2020,Residential,3.27873,3.86042
EU27 & UK,1/4/2020,Power,2.01201,2.90341,,EU27 & UK,1/4/2020,Industry,1.2051,1.6732,,,EU27 & UK,1/4/2020,Domestic Aviation,0.0348177,0.023476,,,EU27 & UK,1/4/2020,International Aviation,0.489925,0.172878,,EU27 & UK,1/4/2020,Residential,2.65245,3.08165
India,1/4/2020,Power,3.43196,3.39118,,India,1/4/2020,Industry,2.16407,1.97122,,,India,1/4/2020,Domestic Aviation,0.0213587,0.0162235,,,India,1/4/2020,International Aviation,0.0376314,0.0124238,,India,1/4/2020,Residential,1.55666,0.589828
ROW,1/4/2020,Power,9.0692,9.32852,,ROW,1/4/2020,Industry,8.8618,9.64219,,,ROW,1/4/2020,Domestic Aviation,0.183573,0.145371,,,ROW,1/4/2020,International Aviation,0.872034,0.3112,,ROW,1/4/2020,Residential,5.05801,5.18599
Russia,1/4/2020,Power,2.61488,2.4975,,Russia,1/4/2020,Industry,0.637093,0.613754,,,Russia,1/4/2020,Domestic Aviation,0.0405575,0.0417591,,,Russia,1/4/2020,International Aviation,0.0370518,0.0105675,,Russia,1/4/2020,Residential,0.717294,0.863192
United States,1/4/2020,Power,3.42812,4.0547,,United States,1/4/2020,Industry,2.69125,2.82152,,,United States,1/4/2020,Domestic Aviation,0.492464,0.362072,,,United States,1/4/2020,International Aviation,0.239601,0.12427,,United States,1/4/2020,Residential,2.45273,2.79149
