country,date,sector,value,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,
Brazil,1/1/2020,Power,0.302034,Column1,,Brazil,1/1/2020,Industry,0.314826,Column1,,,Brazil,1/1/2020,Domestic Aviation,0.0226154,Column1,,,Brazil,1/1/2020,International Aviation,0.0168532,Column1,,,Brazil,1/1/2020,Ground Transport,0.251534,Column1,,,Brazil,1/1/2020,Residential,0.0984519,Column1,
China,1/1/2020,Power,16.5024,,,China,1/1/2020,Industry,10.3884,,,,China,1/1/2020,Domestic Aviation,0.17083,,,,China,1/1/2020,International Aviation,0.0823057,,,,China,1/1/2020,Ground Transport,2.34337,,,,China,1/1/2020,Residential,3.68583,,
EU27 & UK,1/1/2020,Power,1.94369,Mean,0.187290068,EU27 & UK,1/1/2020,Industry,1.16418,Mean,7.092189935,,EU27 & UK,1/1/2020,Domestic Aviation,0.0321328,Mean,0.169699179,,EU27 & UK,1/1/2020,International Aviation,0.378755,Mean,0.187290068,,EU27 & UK,1/1/2020,Ground Transport,1.64445,Mean,3.903805362,,EU27 & UK,1/1/2020,Residential,3.04106,Mean,2.361374777
India,1/1/2020,Power,3.29404,Standard Error,0.005532117,India,1/1/2020,Industry,2.07711,Standard Error,0.168802059,,India,1/1/2020,Domestic Aviation,0.0211774,Standard Error,0.004345318,,India,1/1/2020,International Aviation,0.0361825,Standard Error,0.005532117,,India,1/1/2020,Ground Transport,0.827252,Standard Error,0.09012417,,India,1/1/2020,Residential,1.94958,Standard Error,0.062827162
ROW,1/1/2020,Power,8.4681,Median,0.059106,ROW,1/1/2020,Industry,8.13642,Median,2.248645,,ROW,1/1/2020,Domestic Aviation,0.176769,Median,0.0476596,,ROW,1/1/2020,International Aviation,0.761327,Median,0.059106,,ROW,1/1/2020,Ground Transport,4.89383,Median,2.416985,,ROW,1/1/2020,Residential,4.99205,Median,1.37738
Russia,1/1/2020,Power,2.58164,Mode,0.0260932,Russia,1/1/2020,Industry,0.628996,Mode,2.05019,,Russia,1/1/2020,Domestic Aviation,0.0248176,Mode,0.190562,,Russia,1/1/2020,International Aviation,0.0302546,Mode,0.0260932,,Russia,1/1/2020,Ground Transport,0.436479,Mode,0.49942,,Russia,1/1/2020,Residential,0.732868,Mode,0.0984519
United States,1/1/2020,Power,3.1624,Standard Deviation,0.299348388,United States,1/1/2020,Industry,2.6193,Standard Deviation,9.134047709,,United States,1/1/2020,Domestic Aviation,0.401377,Standard Deviation,0.235129483,,United States,1/1/2020,International Aviation,0.192116,Standard Deviation,0.299348388,,United States,1/1/2020,Ground Transport,3.64169,Standard Deviation,4.87670868,,United States,1/1/2020,Residential,2.89266,Standard Deviation,3.39964038
WORLD,1/1/2020,Power,37.454,Sample Variance,0.089609457,WORLD,1/1/2020,Industry,25.8245,Sample Variance,83.43082755,,WORLD,1/1/2020,Domestic Aviation,0.876764,Sample Variance,0.055285874,,WORLD,1/1/2020,International Aviation,1.5517,Sample Variance,0.089609457,,WORLD,1/1/2020,Ground Transport,14.4064,Sample Variance,23.78228755,,WORLD,1/1/2020,Residential,18.0008,Sample Variance,11.55755471
Brazil,1/2/2020,Power,0.313837,Kurtosis,9.290403946,Brazil,1/2/2020,Industry,0.327129,Kurtosis,1.343463871,,Brazil,1/2/2020,Domestic Aviation,0.0330685,Kurtosis,2.658735884,,Brazil,1/2/2020,International Aviation,0.0189437,Kurtosis,9.290403946,,Brazil,1/2/2020,Ground Transport,0.431952,Kurtosis,2.474061514,,Brazil,1/2/2020,Residential,0.0984519,Kurtosis,8.716136099
China,1/2/2020,Power,15.8546,Skewness,2.824075426,China,1/2/2020,Industry,9.98061,Skewness,1.585759018,,China,1/2/2020,Domestic Aviation,0.175613,Skewness,1.857141801,,China,1/2/2020,International Aviation,0.0843115,Skewness,2.824075426,,China,1/2/2020,Ground Transport,2.54627,Skewness,1.899462196,,China,1/2/2020,Residential,3.46982,Skewness,2.851398073
EU27 & UK,1/2/2020,Power,2.28418,Range,1.84166992,EU27 & UK,1/2/2020,Industry,1.36811,Range,35.159022,,EU27 & UK,1/2/2020,Domestic Aviation,0.0413889,Range,1.077518915,,EU27 & UK,1/2/2020,International Aviation,0.454253,Range,1.84166992,,EU27 & UK,1/2/2020,Ground Transport,2.38764,Range,19.0199298,,EU27 & UK,1/2/2020,Residential,2.97235,Range,19.6037481
