country,date,sector,value20,,country,date,sector,value21,,country,date,sector,value19
Brazil,1/1/2020,Domestic Aviation,0.0226154,,Brazil,1/1/2021,Domestic Aviation,0.0158556,,Brazil,1/1/2019,Domestic Aviation,0.0237501
Brazil,1/1/2020,Ground Transport,0.251534,,Brazil,1/1/2021,Ground Transport,0.0939564,,Brazil,1/1/2019,Ground Transport,0.201663
Brazil,1/1/2020,Industry,0.314826,,Brazil,1/1/2021,Industry,0.309095,,Brazil,1/1/2019,Industry,0.240156
Brazil,1/1/2020,International Aviation,0.0168532,,Brazil,1/1/2021,International Aviation,0.00685544,,Brazil,1/1/2019,International Aviation,0.0183979
Brazil,1/1/2020,Power,0.302034,,Brazil,1/1/2021,Power,0.297697,,Brazil,1/1/2019,Power,0.107724
Brazil,1/1/2020,Residential,0.0984519,,Brazil,1/1/2021,Residential,0.0984519,,Brazil,1/1/2019,Residential,0.0984519
China,1/1/2020,Domestic Aviation,0.17083,,China,1/1/2021,Domestic Aviation,0.170147,,China,1/1/2019,Domestic Aviation,0.163042
China,1/1/2020,Ground Transport,2.34337,,China,1/1/2021,Ground Transport,2.45637,,China,1/1/2019,Ground Transport,2.52174
China,1/1/2020,Industry,10.3884,,China,1/1/2021,Industry,11.0446,,China,1/1/2019,Industry,10.4174
China,1/1/2020,International Aviation,0.0823057,,China,1/1/2021,International Aviation,0.0292834,,China,1/1/2019,International Aviation,0.0768968
China,1/1/2020,Power,16.5024,,China,1/1/2021,Power,16.3429,,China,1/1/2019,Power,14.8234
China,1/1/2020,Residential,3.68583,,China,1/1/2021,Residential,4.34355,,China,1/1/2019,Residential,4.34889
EU27 & UK,1/1/2020,Domestic Aviation,0.0321328,,EU27 & UK,1/1/2021,Domestic Aviation,0.0125416,,EU27 & UK,1/1/2019,Domestic Aviation,0.0319553
EU27 & UK,1/1/2020,Ground Transport,1.64445,,EU27 & UK,1/1/2021,Ground Transport,1.5029,,EU27 & UK,1/1/2019,Ground Transport,1.63525
EU27 & UK,1/1/2020,Industry,1.16418,,EU27 & UK,1/1/2021,Industry,1.25523,,EU27 & UK,1/1/2019,Industry,0.943911
EU27 & UK,1/1/2020,International Aviation,0.378755,,EU27 & UK,1/1/2021,International Aviation,0.117591,,EU27 & UK,1/1/2019,International Aviation,0.379329
EU27 & UK,1/1/2020,Power,1.94369,,EU27 & UK,1/1/2021,Power,2.17812,,EU27 & UK,1/1/2019,Power,1.88637
EU27 & UK,1/1/2020,Residential,3.04106,,EU27 & UK,1/1/2021,Residential,3.12185,,EU27 & UK,1/1/2019,Residential,2.57928
India,1/1/2020,Domestic Aviation,0.0211774,,India,1/1/2021,Domestic Aviation,0.0154961,,India,1/1/2019,Domestic Aviation,0.0201599
India,1/1/2020,Ground Transport,0.827252,,India,1/1/2021,Ground Transport,0.803088,,India,1/1/2019,Ground Transport,0.81621
India,1/1/2020,Industry,2.07711,,India,1/1/2021,Industry,2.0269,,India,1/1/2019,Industry,2.06511
India,1/1/2020,International Aviation,0.0361825,,India,1/1/2021,International Aviation,0.0139036,,India,1/1/2019,International Aviation,0.0329979
